Type,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Delivery,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,280.000000,1175.000000,1470.000000,1585.000000,1360.000000,1415.000000,1450.000000,815.000000,440.000000,1374.000000,1065.000000,1310.000000,893.761412,1075.000000,845.000000,905.000000,1065.000000,1385.000000,1770.000000,790.000000,210.000000,105.000000,70.000000,210.000000,175.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23237.761412,3200.000000,20037.761412,0.862293,0.000000
Nut butter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,65.000000,2174.750000,2830.000000,6383.201999,6572.733399,4865.289206,22890.974604,18508.000000,4382.974604,0.191472,0.000000
Prepared food,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,785.000000,2160.000000,2535.000000,5185.000000,5914.585943,4822.000000,21401.585943,17004.570000,4397.015943,0.205453,0.000000
Home appliance,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6253.000000,0.000000,0.000000,0.000000,0.000000,3400.000000,5250.000000,5250.000000,20153.000000,15535.350000,4617.650000,0.229130,0.000000
Chemical free vegetables,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,216.500000,1101.750000,1191.500000,1388.440000,622.760000,1139.000000,1545.750000,2432.420000,4344.920000,3521.220000,1073.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18577.570000,14452.190000,4125.380000,0.222062,0.000000
Flour,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.400000,416.250000,282.250000,996.800000,520.050000,778.000000,1059.850000,261.200000,219.300000,674.630000,488.250000,294.000000,269.900000,667.750000,251.750000,196.750000,637.750000,682.250000,483.000000,629.000000,871.000000,841.000000,1271.000000,1586.500000,1247.500000,432.000000,0.000000,0.000000,0.000000,0.000000,324.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.000000,16536.130000,13488.920000,3047.210000,0.184276,0.000000
Fish,0.000000,0.000000,323.130000,421.890000,694.200000,914.730000,653.400000,124.650000,349.020000,289.440000,354.510000,0.000000,0.000000,0.000000,0.000000,0.000000,453.594600,302.400000,0.000000,151.200000,302.400000,0.000000,0.000000,0.000000,166.000000,1533.000000,905.000000,776.200000,2392.100000,502.500000,2117.200000,1867.400000,451.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16045.314600,12632.340000,3412.974600,0.212708,0.000000
Spices,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106.000000,185.500000,79.500000,159.000000,159.000000,132.500000,79.500000,26.500000,181.125000,131.250000,0.000000,0.000000,0.000000,78.000000,191.500000,377.500000,204.000000,478.000000,249.800000,294.600000,873.900000,988.800000,877.700000,724.400000,168.250000,0.000000,0.000000,180.000000,940.150000,594.250000,228.000000,697.863850,521.000000,1772.997885,2985.711650,1030.903786,15697.202171,11579.940000,4117.262171,0.262293,0.000000
Vinegar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.900000,167.400000,27.900000,195.300000,111.600000,83.700000,167.400000,0.000000,0.000000,0.000000,210.000000,210.000000,35.000000,315.000000,105.000000,0.000000,0.000000,456.000000,266.000000,329.000000,215.000000,342.000000,1178.000000,932.900000,874.000000,114.000000,0.000000,0.000000,35.000000,1890.000000,560.000000,486.527580,1190.000000,980.000000,1347.961265,1271.987761,1145.567743,15270.144348,10872.430000,4397.714348,0.287994,0.000000
Fresh Produce,0.000000,0.000000,2427.140000,1715.520000,2433.670000,3174.370000,4261.310000,256.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14268.370000,11103.680000,3164.690000,0.221798,0.000000
