Product,Brand,Type,Date,Revenue,Gross Profit,CMGR,Average Revenue,Average Gross Profit,%Total Revenue,% Variation from Average,%Total Gross Profit
ALPHABET PASTA ( GLUTEN FREE ) - ITALIAN,NGS,Pasta,2014-01-01,131.25,26.25,2.6004484707,27.9462703296,7.11853072209,0.00574482852554,369.65122162,0.00451066483351
ALPHABET PASTA ( GLUTEN FREE ) - ITALIAN,NGS,Pasta,2014-04-01,87.5,17.5,2.6004484707,27.9462703296,7.11853072209,0.00382988568369,213.100814413,0.003007109889
ALPHABET PASTA ( GLUTEN FREE ) - ITALIAN,NGS,Pasta,2014-05-01,43.75,8.75,2.6004484707,27.9462703296,7.11853072209,0.00191494284185,56.5504072067,0.0015035549445
AMARANTH,0,Grains,2015-05-01,368.0,98.0,11.9896042417,27.9462703296,7.11853072209,0.0161074049326,1216.81256805,0.0168398153784
AMARANTH,0,Grains,2015-06-01,82.8,15.3,11.9896042417,27.9462703296,7.11853072209,0.00362416610983,196.282827811,0.00262907321724
AMARANTH,0,Grains,2015-08-01,552.0,147.0,11.9896042417,27.9462703296,7.11853072209,0.0241611073988,1875.21885207,0.0252597230676
AMARANTH,0,Grains,2015-09-01,276.0,73.5,11.9896042417,27.9462703296,7.11853072209,0.0120805536994,887.609426035,0.0126298615338
AMARANTH (ORGANIC),0,Grains,2015-11-01,88.0,21.5,15.6425722507,27.9462703296,7.11853072209,0.00385177074474,214.889961924,0.0036944492922
AMARANTH (ORGANIC),0,Grains,2015-12-01,94.0,27.5,15.6425722507,27.9462703296,7.11853072209,0.00411439147734,236.359732055,0.00472545839701
AMERICAN GREEN APPLE / 500G,NGS,Fresh Produce,2012-07-01,31.89,6.87,6.31090197674,27.9462703296,7.11853072209,0.00139582919375,14.1118282473,0.001180505425
AMERICAN GREEN APPLE / 500G,NGS,Fresh Produce,2012-08-01,46.89,9.36,6.31090197674,27.9462703296,7.11853072209,0.00205238102524,67.7862535753,0.00160837420349
AMERICAN GREEN APPLE / 500G,NGS,Fresh Produce,2012-09-01,109.41,21.84,6.31090197674,27.9462703296,7.11853072209,0.00478888905889,291.501258342,0.00375287314148
AMERICAN GREEN APPLE / 500G,NGS,Fresh Produce,2012-10-01,109.41,21.84,6.31090197674,27.9462703296,7.11853072209,0.00478888905889,291.501258342,0.00375287314148
AMERICAN GREEN APPLE / 500G,NGS,Fresh Produce,2012-11-01,203.19,40.56,6.31090197674,27.9462703296,7.11853072209,0.00889365110937,627.073765493,0.00696962154846
AMERICAN GREEN APPLES,Kheir Misr,Fresh vegetables,2013-01-01,206.95,114.33,6.03888234382,27.9462703296,7.11853072209,0.00905822676846,640.528154775,0.019645878492
AMERICAN GREEN APPLES,Kheir Misr,Fresh vegetables,2013-02-01,64.38,10.36,6.03888234382,27.9462703296,7.11853072209,0.00281792046076,130.370633508,0.00178020905429
AMERICAN GREEN APPLES,Kheir Misr,Fresh vegetables,2013-03-01,160.95,25.9,6.03888234382,27.9462703296,7.11853072209,0.00704480115189,475.926583769,0.00445052263573
AMERICAN GREEN APPLES,Kheir Misr,Fresh vegetables,2013-04-01,482.85,77.7,6.03888234382,27.9462703296,7.11853072209,0.0211344034557,1627.77975131,0.0133515679072
AMERICAN GREEN APPLES,Kheir Misr,Fresh vegetables,2013-05-01,413.22,59.51,6.03888234382,27.9462703296,7.11853072209,0.0180866898539,1378.62306894,0.0102258919711
