Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
AUSTRALIAN BEEF RIB EYE,NGS,Australian beef,54.0,36.5,0.0,35.0,0.00236358659337,1229.6358945,313.21535177,-95.6084561095,0.00627197205425
AUSTRALIAN BEEF STEAK,NGS,Australian beef,132.0,76.0,1.16520800875,35.0,0.00577765611713,1229.6358945,313.21535177,-89.2651149344,0.0130594486609
AVOCADO,Kheir Misr,Fresh fruits,12049.565673,1954.455673,9.27773979204,40.0,0.527410960752,1229.6358945,313.21535177,879.929565078,0.335843598968
AVOCADO,NGS,Fresh Produce,1568.64,261.44,4.61010436771,45.0,0.0686595643301,1229.6358945,313.21535177,27.5694705252,0.0449245033935
AVOCADOES ( IMPORTED ),NGS,Fresh fruits,9742.3,2284.5,17.0830395506,23.0,0.426421660529,1229.6358945,313.21535177,692.291445263,0.392556716656
AVOCADOS,NGS,General,703.729488,261.359488,0.0,5.0,0.0308023256147,1229.6358945,313.21535177,-42.7692790078,0.044910668626
AVOCADOS (IMPORTED),NGS,Fruits,11747.623084,3424.233084,14.5356150918,11.0,0.514194896765,1229.6358945,313.21535177,855.374118189,0.588402581098
AZUKI BEANS,0,Grains,176.0,41.0,31.9507910773,5.0,0.0077035414895,1229.6358945,313.21535177,-85.6868199125,0.00704522888286
BABY BLACK AUBERGENE,NGS,Fresh vegetables,100.0,34.67,4.68802349769,20.0,0.00437701220994,1229.6358945,313.21535177,-91.8675113139,0.00595751427728
BABY BLACK AUBERGENE (CHEMICAL FREE),0,Vegetables,30.0,10.0,0.0,10.0,0.00131310366298,1229.6358945,313.21535177,-97.5602533942,0.00171834850801
BABY BLACK AUBERGINE (CHEMICAL FREE) - ROUND,0,Vegetables,32.0,12.0,7.17734625363,10.0,0.00140064390718,1229.6358945,313.21535177,-97.3976036205,0.00206201820962
BABY BLACK AUBERGINE (ROUND),NGS,Fresh vegetables,350.0,146.04,16.7168056826,23.0,0.0153195427348,1229.6358945,313.21535177,-71.5362895987,0.025094761611
BABY CARROT,NGS,Vegetables,40.0,33.48,10.717317889,9.0,0.00175080488398,1229.6358945,313.21535177,-96.7470045256,0.00575303080483
BABY CARROTS (CHEMICAL FREE),0,Chemical free vegetables,68.85,13.77,3.14196355916,19.0,0.00301357290655,1229.6358945,313.21535177,-94.4007815396,0.00236616589554
BABY CARROTS - CHEMICAL FREE / 500G,Kheir Misr,Fresh Produce,5.85,1.35,0.0,45.0,0.000256055214282,1229.6358945,313.21535177,-99.5242494119,0.000231977048582
BABY CHERRY CARROTS,NGS,Fresh vegetables,18.75,3.75,0.0,24.0,0.000820689789364,1229.6358945,313.21535177,-98.4751583714,0.000644380690505
BABY CORN,NGS,Chemical free vegetables,297.22,60.35,5.28913711067,22.0,0.0130093556904,1229.6358945,313.21535177,-75.8286171272,0.0103702332459
BABY FRENCH BEANS,Kheir Misr,Fresh vegetables,1051.57,284.92,3.5026421993,39.0,0.0460273472961,1229.6358945,313.21535177,-14.4811887238,0.0489591856903
BABY FRENCH SPINACH,Kheir Misr,Fresh vegetables,573.0,130.32,8.51566925619,40.0,0.025080279963,1229.6358945,313.21535177,-53.4008398288,0.0223935177564
BABY KALE,0,Fresh vegetables,338.8,109.78,3.95572564549,39.0,0.0148293173673,1229.6358945,313.21535177,-72.4471283316,0.018864029921
BABY LEAF LETTUCE ( AQUAPONIC ),Bustan,Aquaponic vegetables,60.0,12.0,5.94630943593,24.0,0.00262620732597,1229.6358945,313.21535177,-95.1205067884,0.00206201820962
BABY ONIONS,NGS,Fresh vegetables,169.25,45.0,8.86376917724,23.0,0.00740809316533,1229.6358945,313.21535177,-86.2357628988,0.00773256828606
BABY ONIONS,NGS,Vegetables,20.0,-0.6,2.25651825636,10.0,0.000875402441989,1229.6358945,313.21535177,-98.3735022628,-0.000103100910481
BABY PEARS,NGS,Fruits,182.0,52.0,0.0,5.0,0.0079661622221,1229.6358945,313.21535177,-85.1988705913,0.00893541224167
BABY POTATOES,0,Vegetables,26.0,13.0,0.0,11.0,0.00113802317459,1229.6358945,313.21535177,-97.8855529416,0.00223385306042
BABY POTATOES ( CHEMICAL FREE ),NGS,Fresh vegetables,194.35,47.95,2.44356997117,19.0,0.00850672323003,1229.6358945,313.21535177,-84.1945082386,0.00823948109593
BABY POTATOES (CHEMICAL FREE),0,Vegetables,262.75,72.93,2.15811742144,11.0,0.0115005995816,1229.6358945,313.21535177,-78.6318859773,0.0125319156689
