Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Gross Profit,Revenue,Cost of Goods,Margin,Tax
Quinoa ( white ) - organic / 454g,106900,,"Eden Foods, Inc.",Hv,Grains,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.700000,117.300000,179.400000,151.800000,124.200000,110.400000,0.000000,0.000000,0.000000,681.510000,418.000000,858.000000,154.000000,180.000000,15.000000,576.000000,704.000000,1086.500000,235.620000,490.300000,440.420000,1539.800000,772.170000,924.700000,1007.400000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10967.220000,62300.960000,51333.740000,0.176036,0.000000
Chicken Breasts / 1kg,ChickenBreasts,,NGS,Shahd,Fresh poultry,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.240000,269.360000,404.040000,569.800000,331.520000,486.920000,466.200000,207.200000,341.880000,414.400000,362.600000,393.680000,290.080000,341.880000,331.520000,372.960000,449.680000,440.000000,912.000000,714.000000,1050.000000,1190.000000,1092.000000,1222.000000,1008.000000,400.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14154.960000,59336.960000,45182.000000,0.238552,0.000000
Chicken breast - Hormone free (frozen),80001,,NGS,Shahd,Poultry,Frozen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.000000,2705.990000,511.987350,177.000000,1574.595289,1204.101685,2863.985465,2752.317151,2797.519987,916.000000,15519.496928,53388.136928,37868.640000,0.290692,0.000000
Coconut oil (organic),101001,,,Divine coconut,Oil,"Super food, Weight loss, Oil",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,144.000000,2412.000000,544.400000,525.505155,1057.800000,849.665409,1029.338577,2018.907080,1135.163715,570.000000,10286.779935,44342.779935,34056.000000,0.231983,0.000000
Whole Chicken / 1kg,WholeChicken,,NGS,Shahd,Fresh poultry,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.500000,310.500000,496.800000,241.500000,358.800000,545.100000,241.500000,331.200000,131.100000,641.700000,241.500000,393.300000,572.700000,441.600000,420.900000,276.000000,331.200000,305.100000,486.000000,252.000000,360.000000,403.200000,432.000000,432.000000,540.000000,120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9340.200000,40680.500000,31340.300000,0.229599,0.000000
Whole chicken - Hormone free (frozen),80005,,NGS,Shahd,Poultry,Frozen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1502.800000,538.210000,309.960000,559.250000,683.000000,1466.771348,1106.884098,1497.515614,1185.190000,8849.581060,26600.371060,17750.790000,0.332686,0.000000
Beef mince - no fat (chemical free) - frozen,151006,,NGS,El rancho,Beef,"Frozen, Chemical free, Beef",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1568.000000,1004.960000,828.640653,1170.120000,488.790000,253.594969,655.193746,703.168377,380.000000,7052.467745,24219.747745,17167.280000,0.291187,0.000000
Beef fillet (chemical free) - frozen,151003,,NGS,El rancho,Beef,"Frozen, Chemical free, Beef",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.800000,525.600000,440.100000,891.361809,425.310680,541.420000,624.215336,379.786253,972.828042,1288.000000,6131.422120,23632.772120,17501.350000,0.259446,0.000000
Salmon steak (frozen),451001,,,Red Coral,Sea Food,Frozen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1078.000000,516.200000,484.000000,548.043537,1043.600000,959.000000,1108.875700,1113.018221,880.000000,7730.737459,22730.737459,15000.000000,0.340101,0.000000
Cairo above 150 L.E orders,Cairoabove150LEorders,,Freight,Freight,General,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,185.000000,4660.000000,2082.624782,980.424870,2020.670198,1848.049762,2586.345982,2981.765426,2168.016538,1417.235660,20930.133219,20930.133219,0.000000,1.000000,0.000000
