Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
BABY RADISH,Kheir Misr,Fresh vegetables,180.18,51.42,2.85700594374,39.0,0.00766376124294,1251.23198091,318.640369211,-85.5997926245,0.00858824639151
BABY RED ONIONS ( CHEMICAL FREE ),NGS,Fresh vegetables,14.5,3.01,6.35184432171,19.0,0.000616741802768,1251.23198091,318.640369211,-98.8411421526,0.000502734765431
BABY SPINACH,NGS,Fresh vegetables,3802.3,1136.05,16.3684543288,24.0,0.161726714253,1251.23198091,318.640369211,203.884496081,0.189744794109
BABY SPINACH ( AQUAPONIC ),Bustan,Aquaponic vegetables,28.0,6.0,5.94630943593,24.0,0.0011909496881,1251.23198091,318.640369211,-97.7622055361,0.00100212910053
BABY SPINACH (CHEMICAL FREE),0,Vegetables,7536.913948,2776.913948,67.0152512354,12.0,0.320574475558,1251.23198091,318.640369211,502.359439574,0.463804379491
BABY SPINACH(CHEMICAL FREE),0,Chemical free vegetables,651.95,150.45,11.0113015515,18.0,0.02772998747,1251.23198091,318.640369211,-47.895353544,0.0251283871957
BABY SPINACH(CHEMICAL FREE),0,Vegetables,397.8,108.8,27.2348382661,12.0,0.0169199923545,1251.23198091,318.640369211,-68.2073343658,0.0181719410229
BABY STRIPED AUBEGENE,NGS,Fresh vegetables,12.5,5.0,0.0,21.0,0.000531673967903,1251.23198091,318.640369211,-99.0009846143,0.000835107583772
BABY SWEET CORN,NGS,Fresh vegetables,47.52,0.0,2.93328250562,38.0,0.00202121175638,1251.23198091,318.640369211,-96.2021431098,0.0
BABY YELLOW CARROTS,Kheir Misr,Fresh vegetables,453.49,106.92,4.93864914266,40.0,0.0192887062163,1251.23198091,318.640369211,-63.7565210195,0.0178579405714
BABY YELLOW ZUCCHINI,NGS,Fresh vegetables,175.0,37.0,1.47367585551,23.0,0.00744343555064,1251.23198091,318.640369211,-86.0137846003,0.00617979611991
BABY YELLOW ZUCCHINI (CHEMICAL FREE),0,Vegetables,220.0,68.33,7.43092982796,11.0,0.00935746183509,1251.23198091,318.640369211,-82.4173292119,0.0114125802398
BAGUETTE,NGS,Bread&Bakry,6.5,6.5,0.0,31.0,0.00027647046331,1251.23198091,318.640369211,-99.4805119994,0.0010856398589
BAGUTTE BROWN,NGS,Bread&Bakry,7.5,7.5,0.0,31.0,0.000319004380742,1251.23198091,318.640369211,-99.4005907686,0.00125266137566
